Epoch,learning rate,training loss,training energy RMSE (per atom),training energy MAE (per atom),training forces RMSE,training forces MAE,validation loss,validation energy RMSE (per atom),validation energy MAE (per atom),validation forces RMSE,validation forces MAE
,,,meV,meV,meV/A,meV/A,,meV,meV,meV/A,meV/A
 407,5.000e-06,1.914e+00,  8.33,  5.78, 96.41,54.488,1.625e+00, 21.71,  7.70,461.40,62.468
 408,5.000e-06,1.964e+00,  8.32,  5.83, 96.35,54.489,1.626e+00, 21.86,  7.63,461.59,62.387
 409,5.000e-06,1.992e+00,  8.45,  5.93, 96.38,54.490,1.627e+00, 21.75,  7.58,461.79,62.366
 410,5.000e-06,1.956e+00,  8.49,  5.93, 96.34,54.438,1.627e+00, 22.07,  7.27,461.72,62.421
 411,5.000e-06,1.948e+00,  8.36,  5.88, 96.33,54.454,1.627e+00, 21.92,  7.28,461.77,62.403
 412,5.000e-06,1.963e+00,  8.55,  6.01, 96.35,54.411,1.628e+00, 21.61,  7.81,461.87,62.384
 413,5.000e-06,1.924e+00,  8.32,  5.80, 96.43,54.413,1.627e+00, 21.85,  7.36,461.74,62.450
 414,5.000e-06,1.932e+00,  8.24,  5.74, 96.36,54.449,1.627e+00, 21.62,  8.00,461.74,62.440
 415,5.000e-06,1.908e+00,  8.37,  5.88, 96.38,54.428,1.628e+00, 21.69,  7.82,461.92,62.358
 416,5.000e-06,1.966e+00,  8.36,  5.85, 96.36,54.437,1.628e+00, 21.75,  7.67,461.92,62.389
 417,5.000e-06,1.946e+00,  8.40,  5.90, 96.32,54.484,1.628e+00, 21.82,  9.30,461.91,62.362
 418,5.000e-06,1.948e+00,  8.40,  5.85, 96.27,54.423,1.630e+00, 21.79,  7.72,462.24,62.318
 419,5.000e-06,1.961e+00,  8.33,  5.81, 96.31,54.356,1.630e+00, 21.64,  7.54,462.22,62.443
 420,5.000e-06,1.893e+00,  8.30,  5.80, 96.23,54.431,1.630e+00, 21.63,  8.32,462.20,62.380
 421,5.000e-06,1.990e+00,  8.60,  6.09, 96.35,54.444,1.631e+00, 21.93,  7.32,462.27,62.374
 422,5.000e-06,1.969e+00,  8.28,  5.74, 96.28,54.441,1.631e+00, 21.71,  8.27,462.33,62.407
 423,5.000e-06,1.941e+00,  8.35,  5.82, 96.26,54.423,1.630e+00, 21.71,  8.23,462.28,62.352
 424,5.000e-06,1.921e+00,  8.30,  5.77, 96.21,54.407,1.632e+00, 21.87,  7.37,462.51,62.345
 425,5.000e-06,1.928e+00,  8.28,  5.79, 96.18,54.372,1.632e+00, 21.67,  7.68,462.57,62.382
 426,5.000e-06,1.992e+00,  8.41,  5.93, 96.25,54.391,1.633e+00, 21.71,  8.12,462.58,62.372
 427,5.000e-06,1.946e+00,  8.23,  5.71, 96.19,54.392,1.633e+00, 21.99,  7.30,462.55,62.430
 428,5.000e-06,1.942e+00,  8.30,  5.75, 96.16,54.360,1.633e+00, 22.06,  7.21,462.58,62.399
 429,5.000e-06,1.948e+00,  8.28,  5.75, 96.16,54.376,1.632e+00, 21.76,  8.03,462.54,62.400
 430,5.000e-06,1.946e+00,  8.36,  5.84, 96.06,54.414,1.634e+00, 22.10,  7.28,462.71,62.370
 431,5.000e-06,1.922e+00,  8.51,  5.95, 96.17,54.355,1.635e+00, 21.66,  7.96,462.94,62.384
 432,5.000e-06,1.950e+00,  8.62,  6.06, 96.10,54.399,1.635e+00, 21.95,  7.32,462.92,62.336
 433,5.000e-06,1.967e+00,  8.49,  5.93, 96.16,54.393,1.635e+00, 22.13,  7.25,462.93,62.313
 434,5.000e-06,1.901e+00,  8.39,  5.88, 96.14,54.340,1.636e+00, 22.14,  7.29,463.02,62.371
 435,5.000e-06,1.921e+00,  8.23,  5.71, 96.10,54.383,1.636e+00, 22.18, 10.37,463.09,62.428
 436,5.000e-06,1.904e+00,  8.41,  5.88, 96.11,54.359,1.636e+00, 21.88,  7.42,463.04,62.408
 437,5.000e-06,1.962e+00,  8.27,  5.76, 96.14,54.406,1.638e+00, 22.00,  7.31,463.30,62.383
 438,5.000e-06,1.947e+00,  8.52,  5.89, 96.15,54.382,1.637e+00, 21.66,  7.93,463.21,62.354
 439,5.000e-06,1.944e+00,  8.35,  5.83, 96.08,54.353,1.637e+00, 21.66,  8.06,463.19,62.280
 440,5.000e-06,1.929e+00,  8.50,  6.00, 96.04,54.325,1.637e+00, 21.68,  8.18,463.21,62.464
 441,5.000e-06,1.938e+00,  8.32,  5.81, 96.08,54.294,1.638e+00, 21.92,  7.32,463.38,62.388
 442,5.000e-06,1.895e+00,  8.28,  5.79, 95.97,54.345,1.638e+00, 21.70,  8.85,463.38,62.315
 443,5.000e-06,1.955e+00,  8.39,  5.89, 96.07,54.318,1.638e+00, 22.32,  7.47,463.35,62.321
 444,5.000e-06,1.931e+00,  8.36,  5.84, 96.02,54.308,1.639e+00, 22.18,  7.31,463.54,62.279
 445,5.000e-06,1.872e+00,  8.36,  5.80, 96.00,54.308,1.639e+00, 21.87,  7.40,463.53,62.326
 446,5.000e-06,1.923e+00,  8.29,  5.80, 95.96,54.283,1.640e+00, 21.64,  7.70,463.60,62.344
 447,5.000e-06,1.899e+00,  8.30,  5.78, 95.95,54.286,1.640e+00, 21.71,  7.72,463.68,62.330
 448,5.000e-06,1.911e+00,  8.34,  5.82, 95.99,54.296,1.641e+00, 21.70,  8.88,463.78,62.322
 449,5.000e-06,1.964e+00,  8.20,  5.72, 95.96,54.221,1.642e+00, 22.03,  7.22,463.93,62.357
 450,5.000e-06,1.962e+00,  8.27,  5.77, 95.97,54.344,1.642e+00, 21.79,  7.41,464.02,62.272
 451,5.000e-06,1.915e+00,  8.37,  5.80, 95.88,54.305,1.642e+00, 21.98,  7.31,463.89,62.333
 452,5.000e-06,1.966e+00,  8.41,  5.95, 95.94,54.233,1.643e+00, 22.01,  7.19,464.04,62.324
 453,5.000e-06,1.923e+00,  8.35,  5.84, 95.94,54.280,1.643e+00, 21.92,  7.28,464.12,62.293
 454,5.000e-06,1.950e+00,  8.20,  5.70, 95.87,54.273,1.642e+00, 21.72,  7.76,463.97,62.283
 455,5.000e-06,1.930e+00,  8.27,  5.73, 95.88,54.244,1.643e+00, 21.90,  7.33,464.02,62.284
 456,5.000e-06,1.931e+00,  8.33,  5.77, 95.87,54.315,1.644e+00, 22.06,  7.21,464.28,62.278
 457,5.000e-06,1.898e+00,  8.47,  6.00, 95.87,54.252,1.644e+00, 22.07,  7.23,464.21,62.390
 458,5.000e-06,1.947e+00,  8.34,  5.82, 95.85,54.247,1.645e+00, 21.71,  7.82,464.34,62.320
 459,5.000e-06,1.934e+00,  8.43,  5.85, 95.85,54.189,1.645e+00, 21.74,  7.63,464.42,62.245
 460,5.000e-06,1.913e+00,  8.34,  5.87, 95.84,54.205,1.645e+00, 21.81,  7.21,464.41,62.258
 461,5.000e-06,1.958e+00,  8.24,  5.73, 95.83,54.269,1.645e+00, 21.88,  9.15,464.39,62.322
 462,5.000e-06,1.927e+00,  8.27,  5.77, 95.75,54.152,1.647e+00, 22.02,  7.19,464.65,62.319
 463,5.000e-06,1.827e+00,  8.20,  5.74, 93.65,54.156,1.646e+00, 21.65,  7.66,464.61,62.301
 464,5.000e-06,1.907e+00,  8.25,  5.76, 95.75,54.226,1.647e+00, 22.01,  7.17,464.60,62.614
 465,5.000e-06,1.913e+00,  8.34,  5.82, 95.82,54.195,1.647e+00, 21.88,  9.56,464.62,62.318
 466,5.000e-06,1.930e+00,  8.29,  5.77, 95.81,54.185,1.647e+00, 21.75,  8.75,464.70,62.274
 467,5.000e-06,1.920e+00,  8.48,  5.91, 95.73,54.195,1.647e+00, 21.77,  8.54,464.76,62.263
 468,5.000e-06,1.872e+00,  8.30,  5.78, 95.68,54.204,1.649e+00, 21.86,  7.16,464.93,62.243
 469,5.000e-06,1.949e+00,  8.32,  5.79, 95.70,54.169,1.648e+00, 21.73,  7.72,464.90,62.233
 470,5.000e-06,1.905e+00,  8.28,  5.78, 95.75,54.185,1.649e+00, 21.83,  7.36,464.96,62.261
 471,5.000e-06,1.933e+00,  8.28,  5.79, 95.78,54.201,1.649e+00, 21.97,  7.16,464.94,62.204
 472,5.000e-06,1.919e+00,  8.28,  5.77, 95.80,54.195,1.649e+00, 22.49,  7.77,464.97,62.335
 473,5.000e-06,1.903e+00,  8.42,  5.86, 95.72,54.224,1.649e+00, 21.75,  8.42,464.94,62.277
 474,5.000e-06,1.897e+00,  8.27,  5.76, 95.78,54.167,1.649e+00, 21.74,  8.01,465.05,62.205
 475,5.000e-06,1.926e+00,  8.28,  5.74, 95.66,54.201,1.651e+00, 21.89,  7.21,465.27,62.291
 476,5.000e-06,1.937e+00,  8.43,  5.90, 95.65,54.113,1.650e+00, 21.63,  7.96,465.18,62.281
 477,5.000e-06,1.908e+00,  8.26,  5.78, 95.60,54.135,1.651e+00, 21.80,  7.34,465.30,62.314
 478,5.000e-06,1.949e+00,  8.29,  5.78, 95.63,54.168,1.652e+00, 22.04,  7.09,465.43,62.358
 479,5.000e-06,1.926e+00,  8.25,  5.76, 95.62,54.103,1.652e+00, 21.59,  7.86,465.41,62.292
 480,5.000e-06,1.919e+00,  8.31,  5.82, 95.58,54.188,1.652e+00, 22.45,  7.58,465.35,62.240
 481,5.000e-06,1.885e+00,  8.25,  5.75, 95.63,54.155,1.652e+00, 21.82,  7.40,465.43,62.235
 482,5.000e-06,1.890e+00,  8.27,  5.78, 95.57,54.130,1.653e+00, 21.73,  7.57,465.57,62.196
 483,5.000e-06,1.902e+00,  8.37,  5.85, 95.59,54.158,1.654e+00, 21.85,  7.33,465.64,62.252
 484,5.000e-06,1.900e+00,  8.42,  5.83, 95.57,54.122,1.654e+00, 21.66,  8.41,465.68,62.214
 485,5.000e-06,1.889e+00,  8.35,  5.81, 95.58,54.166,1.654e+00, 21.88,  7.14,465.75,62.264
 486,5.000e-06,1.945e+00,  8.28,  5.74, 95.60,54.103,1.655e+00, 21.67,  7.61,465.87,62.284
 487,5.000e-06,1.899e+00,  8.46,  5.93, 95.57,54.124,1.656e+00, 21.84,  7.30,465.93,62.206
 488,5.000e-06,1.933e+00,  8.32,  5.81, 95.53,54.041,1.654e+00, 21.87,  9.59,465.76,62.194
 489,5.000e-06,1.935e+00,  8.39,  5.83, 95.53,54.134,1.655e+00, 21.66,  7.93,465.92,62.226
 490,5.000e-06,1.903e+00,  8.26,  5.79, 95.50,54.081,1.656e+00, 21.71,  7.58,466.08,62.228
 491,5.000e-06,1.862e+00,  8.41,  5.87, 95.54,54.116,1.657e+00, 21.80,  7.51,466.06,62.209
 492,5.000e-06,1.884e+00,  8.22,  5.72, 95.39,54.093,1.657e+00, 22.26,  7.36,466.16,62.242
 493,5.000e-06,1.905e+00,  8.52,  5.99, 95.46,54.098,1.658e+00, 21.79,  7.41,466.32,62.240
 494,5.000e-06,1.910e+00,  8.21,  5.72, 95.42,54.100,1.657e+00, 21.69,  9.07,466.20,62.287
 495,5.000e-06,1.900e+00,  8.38,  5.81, 95.45,54.118,1.658e+00, 21.66,  8.22,466.29,62.242
 496,5.000e-06,1.871e+00,  8.18,  5.72, 95.41,54.072,1.658e+00, 21.69,  7.83,466.28,62.183
 497,5.000e-06,1.940e+00,  8.28,  5.81, 95.39,54.090,1.659e+00, 21.78,  7.27,466.46,62.293
 498,5.000e-06,1.900e+00,  8.33,  5.79, 95.49,54.102,1.659e+00, 21.77,  7.26,466.45,62.263
 499,5.000e-06,1.900e+00,  8.34,  5.84, 95.42,53.982,1.660e+00, 21.81,  7.41,466.57,62.197
