[2025-11-04 14:10:12][INFO] - This log is also available at '/scratch/tisi/cartospeed/head_finetuning/2/outputs/2025-11-04/14-10-12/train.log'.
[2025-11-04 14:10:12][INFO] - Package version: 2025.10
[2025-11-04 14:15:45][INFO] - Epoch:   10 | learning rate: 1.000e-05 | training loss: 3.204e+00 | training energy RMSE (per atom):  10.59 meV | training energy MAE (per atom):   7.98 meV | training forces RMSE: 123.46 meV/A | training forces MAE: 67.780 meV/A | validation loss: 1.471e+00 | validation energy RMSE (per atom):  22.87 meV | validation energy MAE (per atom):   9.39 meV | validation forces RMSE: 436.29 meV/A | validation forces MAE: 73.178 meV/A
[2025-11-04 14:16:13][INFO] - Epoch:   11 | learning rate: 1.000e-05 | training loss: 3.202e+00 | training energy RMSE (per atom):  10.48 meV | training energy MAE (per atom):   7.91 meV | training forces RMSE: 122.59 meV/A | training forces MAE: 67.242 meV/A | validation loss: 1.468e+00 | validation energy RMSE (per atom):  22.91 meV | validation energy MAE (per atom):   9.15 meV | validation forces RMSE: 435.89 meV/A | validation forces MAE: 72.734 meV/A
[2025-11-04 14:16:41][INFO] - Epoch:   12 | learning rate: 1.000e-05 | training loss: 3.077e+00 | training energy RMSE (per atom):  10.28 meV | training energy MAE (per atom):   7.75 meV | training forces RMSE: 121.81 meV/A | training forces MAE: 66.792 meV/A | validation loss: 1.465e+00 | validation energy RMSE (per atom):  22.51 meV | validation energy MAE (per atom):   9.26 meV | validation forces RMSE: 435.42 meV/A | validation forces MAE: 72.417 meV/A
[2025-11-04 14:17:08][INFO] - Epoch:   13 | learning rate: 1.000e-05 | training loss: 3.080e+00 | training energy RMSE (per atom):  10.21 meV | training energy MAE (per atom):   7.69 meV | training forces RMSE: 121.06 meV/A | training forces MAE: 66.369 meV/A | validation loss: 1.463e+00 | validation energy RMSE (per atom):  22.72 meV | validation energy MAE (per atom):   8.89 meV | validation forces RMSE: 435.13 meV/A | validation forces MAE: 71.954 meV/A
[2025-11-04 14:17:36][INFO] - Epoch:   14 | learning rate: 1.000e-05 | training loss: 3.089e+00 | training energy RMSE (per atom):  10.16 meV | training energy MAE (per atom):   7.59 meV | training forces RMSE: 120.47 meV/A | training forces MAE: 66.088 meV/A | validation loss: 1.460e+00 | validation energy RMSE (per atom):  22.48 meV | validation energy MAE (per atom):   9.91 meV | validation forces RMSE: 434.73 meV/A | validation forces MAE: 71.647 meV/A
[2025-11-04 14:18:04][INFO] - Epoch:   15 | learning rate: 1.000e-05 | training loss: 3.033e+00 | training energy RMSE (per atom):  10.22 meV | training energy MAE (per atom):   7.66 meV | training forces RMSE: 119.85 meV/A | training forces MAE: 65.759 meV/A | validation loss: 1.458e+00 | validation energy RMSE (per atom):  22.59 meV | validation energy MAE (per atom):   8.69 meV | validation forces RMSE: 434.42 meV/A | validation forces MAE: 71.489 meV/A
[2025-11-04 14:18:31][INFO] - Epoch:   16 | learning rate: 1.000e-05 | training loss: 3.011e+00 | training energy RMSE (per atom):  10.02 meV | training energy MAE (per atom):   7.51 meV | training forces RMSE: 119.28 meV/A | training forces MAE: 65.429 meV/A | validation loss: 1.455e+00 | validation energy RMSE (per atom):  22.48 meV | validation energy MAE (per atom):  10.01 meV | validation forces RMSE: 434.02 meV/A | validation forces MAE: 71.171 meV/A
[2025-11-04 14:18:59][INFO] - Epoch:   17 | learning rate: 1.000e-05 | training loss: 2.902e+00 | training energy RMSE (per atom):  10.16 meV | training energy MAE (per atom):   7.54 meV | training forces RMSE: 118.72 meV/A | training forces MAE: 65.267 meV/A | validation loss: 1.454e+00 | validation energy RMSE (per atom):  22.54 meV | validation energy MAE (per atom):  10.37 meV | validation forces RMSE: 433.97 meV/A | validation forces MAE: 70.956 meV/A
[2025-11-04 14:19:27][INFO] - Epoch:   18 | learning rate: 1.000e-05 | training loss: 2.929e+00 | training energy RMSE (per atom):   9.90 meV | training energy MAE (per atom):   7.40 meV | training forces RMSE: 118.23 meV/A | training forces MAE: 64.899 meV/A | validation loss: 1.452e+00 | validation energy RMSE (per atom):  22.55 meV | validation energy MAE (per atom):   8.63 meV | validation forces RMSE: 433.65 meV/A | validation forces MAE: 70.624 meV/A
[2025-11-04 14:19:54][INFO] - Epoch:   19 | learning rate: 1.000e-05 | training loss: 2.902e+00 | training energy RMSE (per atom):   9.90 meV | training energy MAE (per atom):   7.37 meV | training forces RMSE: 117.72 meV/A | training forces MAE: 64.654 meV/A | validation loss: 1.450e+00 | validation energy RMSE (per atom):  22.77 meV | validation energy MAE (per atom):   8.76 meV | validation forces RMSE: 433.30 meV/A | validation forces MAE: 70.528 meV/A
[2025-11-04 14:20:22][INFO] - Epoch:   20 | learning rate: 1.000e-05 | training loss: 2.881e+00 | training energy RMSE (per atom):   9.97 meV | training energy MAE (per atom):   7.46 meV | training forces RMSE: 117.30 meV/A | training forces MAE: 64.431 meV/A | validation loss: 1.450e+00 | validation energy RMSE (per atom):  22.68 meV | validation energy MAE (per atom):   8.57 meV | validation forces RMSE: 433.36 meV/A | validation forces MAE: 70.196 meV/A
[2025-11-04 14:20:50][INFO] - Epoch:   21 | learning rate: 1.000e-05 | training loss: 2.922e+00 | training energy RMSE (per atom):   9.87 meV | training energy MAE (per atom):   7.33 meV | training forces RMSE: 116.88 meV/A | training forces MAE: 64.323 meV/A | validation loss: 1.447e+00 | validation energy RMSE (per atom):  22.40 meV | validation energy MAE (per atom):   8.63 meV | validation forces RMSE: 432.98 meV/A | validation forces MAE: 69.949 meV/A
[2025-11-04 14:21:18][INFO] - Epoch:   22 | learning rate: 1.000e-05 | training loss: 2.797e+00 | training energy RMSE (per atom):   9.92 meV | training energy MAE (per atom):   7.35 meV | training forces RMSE: 116.48 meV/A | training forces MAE: 64.125 meV/A | validation loss: 1.445e+00 | validation energy RMSE (per atom):  22.25 meV | validation energy MAE (per atom):   9.00 meV | validation forces RMSE: 432.78 meV/A | validation forces MAE: 69.747 meV/A
