Epoch,learning rate,training loss,training mtt::LPS RMSE (per atom),training mtt::LPS MAE (per atom),training forces[mtt::LPS] RMSE,training forces[mtt::LPS] MAE,validation loss,validation mtt::LPS RMSE (per atom),validation mtt::LPS MAE (per atom),validation forces[mtt::LPS] RMSE,validation forces[mtt::LPS] MAE
,,,meV,meV,meV/A,meV/A,,meV,meV,meV/A,meV/A
 577,2.500e-06,2.278e+00,   9.0,   6.3, 102.9,  58.3,1.235e-01,  15.8,   8.3, 107.4,  59.6
 578,2.500e-06,2.247e+00,   9.0,   6.3, 103.0,  58.3,1.235e-01,  15.7,   7.6, 107.4,  59.6
 579,2.500e-06,2.208e+00,   8.9,   6.3, 103.1,  58.3,1.230e-01,  15.4,   6.9, 107.3,  59.5
 580,2.500e-06,2.268e+00,   9.1,   6.4, 103.0,  58.3,1.231e-01,  15.7,   7.7, 107.3,  59.5
 581,2.500e-06,2.206e+00,   8.9,   6.3, 102.8,  58.2,1.235e-01,  16.0,   6.3, 107.4,  59.6
 582,2.500e-06,2.165e+00,   9.1,   6.4, 102.9,  58.2,1.234e-01,  16.0,   6.3, 107.4,  59.6
 583,2.500e-06,2.241e+00,   8.9,   6.2, 102.9,  58.2,1.232e-01,  15.6,   6.5, 107.3,  59.5
 584,2.500e-06,2.270e+00,   8.8,   6.1, 102.9,  58.2,1.238e-01,  15.9,   6.5, 107.6,  59.7
 585,2.500e-06,2.233e+00,   9.3,   6.6, 102.9,  58.2,1.235e-01,  16.5,   9.6, 107.4,  59.5
 586,2.500e-06,2.186e+00,   9.4,   6.7, 103.0,  58.3,1.234e-01,  16.3,   6.7, 107.3,  59.5
 587,2.500e-06,2.210e+00,   9.1,   6.4, 102.8,  58.2,1.234e-01,  15.9,   6.3, 107.4,  59.6
 588,2.500e-06,2.240e+00,   9.0,   6.4, 102.8,  58.1,1.234e-01,  15.6,   6.9, 107.4,  59.5
 589,2.500e-06,2.187e+00,   9.1,   6.5, 102.8,  58.1,1.240e-01,  16.6,   7.2, 107.4,  59.7
 590,2.500e-06,2.217e+00,   8.9,   6.3, 102.9,  58.2,1.230e-01,  15.5,   6.8, 107.3,  59.5
 591,2.500e-06,2.221e+00,   9.1,   6.4, 102.9,  58.2,1.233e-01,  15.6,   6.7, 107.4,  59.5
 592,2.500e-06,2.214e+00,   9.1,   6.4, 102.7,  58.2,1.233e-01,  15.6,   6.8, 107.4,  59.6
 593,2.500e-06,2.204e+00,   8.8,   6.2, 102.6,  58.2,1.231e-01,  15.7,   7.5, 107.3,  59.6
 594,2.500e-06,2.202e+00,   8.9,   6.3, 102.9,  58.2,1.232e-01,  15.7,   6.5, 107.4,  59.5
 595,2.500e-06,2.243e+00,   8.9,   6.2, 102.8,  58.2,1.233e-01,  15.7,   6.9, 107.3,  59.5
 596,2.500e-06,2.189e+00,   8.8,   6.2, 102.8,  58.2,1.233e-01,  15.6,   6.6, 107.4,  59.5
 597,2.500e-06,2.220e+00,   8.8,   6.2, 102.7,  58.2,1.233e-01,  15.7,   7.0, 107.4,  59.6
 598,2.500e-06,2.237e+00,   8.9,   6.2, 102.7,  58.2,1.230e-01,  15.6,   6.2, 107.3,  59.5
 599,2.500e-06,2.218e+00,   8.8,   6.2, 102.8,  58.2,1.229e-01,  15.5,   7.1, 107.2,  59.5
 600,2.500e-06,2.226e+00,   9.0,   6.4, 102.8,  58.2,1.228e-01,  15.5,   6.7, 107.2,  59.5
 601,2.500e-06,2.230e+00,   9.0,   6.3, 102.8,  58.2,1.240e-01,  16.0,   6.7, 107.6,  59.7
 602,2.500e-06,2.221e+00,   8.9,   6.3, 102.7,  58.1,1.232e-01,  15.6,   7.7, 107.3,  59.5
 603,2.500e-06,2.199e+00,   9.0,   6.3, 102.7,  58.1,1.237e-01,  16.5,   6.9, 107.4,  59.6
 604,2.500e-06,2.270e+00,   8.9,   6.3, 102.8,  58.2,1.235e-01,  16.0,   6.3, 107.4,  59.6
 605,2.500e-06,2.261e+00,   9.0,   6.3, 102.8,  58.2,1.228e-01,  15.7,   7.6, 107.1,  59.4
 606,2.500e-06,2.255e+00,   9.1,   6.4, 102.7,  58.1,1.227e-01,  15.4,   6.9, 107.1,  59.5
 607,2.500e-06,2.208e+00,   8.9,   6.3, 102.7,  58.1,1.229e-01,  15.7,   6.2, 107.2,  59.5
 608,2.500e-06,2.204e+00,   8.9,   6.3, 102.8,  58.2,1.230e-01,  15.7,   6.5, 107.2,  59.4
 609,2.500e-06,2.230e+00,   8.9,   6.2, 102.7,  58.1,1.227e-01,  15.6,   7.8, 107.2,  59.5
 610,2.500e-06,2.210e+00,   8.9,   6.3, 102.7,  58.2,1.235e-01,  16.4,   6.7, 107.3,  59.5
 611,2.500e-06,2.206e+00,   9.1,   6.4, 102.7,  58.2,1.228e-01,  15.7,   7.5, 107.2,  59.5
 612,2.500e-06,2.172e+00,   8.8,   6.2, 102.6,  58.1,1.230e-01,  15.6,   7.2, 107.2,  59.4
 613,2.500e-06,2.208e+00,   8.8,   6.2, 102.7,  58.1,1.233e-01,  15.7,   6.4, 107.3,  59.5
 614,2.500e-06,2.186e+00,   8.9,   6.2, 102.8,  58.2,1.229e-01,  15.7,   7.9, 107.2,  59.5
 615,2.500e-06,2.217e+00,   9.1,   6.4, 102.7,  58.1,1.236e-01,  16.7,   7.3, 107.3,  59.5
 616,2.500e-06,2.260e+00,   8.9,   6.4, 102.6,  58.1,1.230e-01,  15.8,   6.3, 107.2,  59.5
 617,2.500e-06,2.235e+00,   8.9,   6.2, 102.7,  58.1,1.230e-01,  15.8,   6.4, 107.2,  59.4
 618,2.500e-06,2.236e+00,   9.0,   6.4, 102.7,  58.1,1.227e-01,  15.5,   6.7, 107.2,  59.4
 619,2.500e-06,2.202e+00,   8.7,   6.1, 102.6,  58.1,1.229e-01,  15.8,   7.7, 107.2,  59.4
 620,2.500e-06,2.194e+00,   8.9,   6.3, 102.5,  58.1,1.232e-01,  16.2,   6.4, 107.2,  59.6
 621,2.500e-06,2.251e+00,   9.2,   6.5, 102.6,  58.1,1.227e-01,  15.6,   7.0, 107.1,  59.4
 622,2.500e-06,2.201e+00,   9.0,   6.3, 102.7,  58.0,1.227e-01,  15.6,   6.7, 107.1,  59.4
 623,2.500e-06,2.210e+00,   8.9,   6.2, 102.6,  58.1,1.228e-01,  15.6,   7.5, 107.2,  59.4
 624,2.500e-06,2.186e+00,   9.0,   6.3, 102.5,  58.1,1.231e-01,  15.6,   6.9, 107.3,  59.5
 625,2.500e-06,2.202e+00,   8.9,   6.3, 102.5,  58.1,1.234e-01,  15.8,   6.5, 107.3,  59.8
 626,2.500e-06,2.186e+00,   8.9,   6.3, 102.5,  58.1,1.233e-01,  15.9,   6.3, 107.3,  59.4
 627,2.500e-06,2.197e+00,   8.9,   6.2, 102.5,  58.1,1.228e-01,  15.6,   7.0, 107.2,  59.4
 628,2.500e-06,2.219e+00,   9.0,   6.3, 102.6,  58.1,1.229e-01,  15.6,   6.7, 107.2,  59.4
 629,2.500e-06,2.178e+00,   9.0,   6.4, 102.5,  58.1,1.226e-01,  15.5,   7.0, 107.2,  59.4
 630,2.500e-06,2.221e+00,   8.9,   6.2, 102.5,  58.1,1.234e-01,  16.3,   6.6, 107.3,  59.4
 631,2.500e-06,2.189e+00,   9.0,   6.3, 102.6,  58.0,1.231e-01,  16.0,   6.3, 107.2,  59.4
 632,2.500e-06,2.228e+00,   9.0,   6.4, 102.5,  58.0,1.228e-01,  15.6,   7.1, 107.2,  59.3
 633,2.500e-06,2.189e+00,   8.9,   6.2, 102.6,  58.1,1.228e-01,  15.7,   6.2, 107.2,  59.4
 634,2.500e-06,2.239e+00,   8.9,   6.3, 102.5,  58.1,1.229e-01,  15.6,   6.9, 107.2,  59.4
 635,2.500e-06,2.210e+00,   8.9,   6.3, 102.6,  58.1,1.227e-01,  15.6,   6.3, 107.2,  59.4
 636,2.500e-06,2.202e+00,   8.8,   6.1, 102.6,  58.0,1.228e-01,  15.7,   7.0, 107.2,  59.4
 637,2.500e-06,2.206e+00,   8.9,   6.2, 102.6,  58.0,1.225e-01,  15.5,   7.0, 107.1,  59.4
 638,2.500e-06,2.232e+00,   8.8,   6.2, 102.5,  58.0,1.225e-01,  15.6,   6.8, 107.1,  59.4
 639,2.500e-06,2.215e+00,   8.9,   6.3, 102.5,  58.0,1.228e-01,  15.7,   6.5, 107.2,  59.4
 640,2.500e-06,2.185e+00,   9.5,   6.8, 102.5,  58.1,1.229e-01,  15.7,   6.9, 107.2,  59.4
 641,2.500e-06,2.208e+00,   8.9,   6.3, 102.4,  58.0,1.227e-01,  15.7,   6.3, 107.1,  59.4
 642,2.500e-06,2.250e+00,   9.0,   6.4, 102.6,  57.9,1.228e-01,  15.9,   8.5, 107.2,  59.5
 643,2.500e-06,2.201e+00,   9.0,   6.3, 102.5,  58.0,1.228e-01,  16.1,   8.9, 107.1,  59.4
 644,2.500e-06,2.183e+00,   9.0,   6.4, 102.4,  58.0,1.227e-01,  15.9,   6.3, 107.1,  59.4
 645,2.500e-06,2.185e+00,   9.1,   6.4, 102.3,  58.0,1.227e-01,  15.6,   6.5, 107.1,  59.4
 646,2.500e-06,2.186e+00,   8.5,   6.3, 102.3,  57.9,1.226e-01,  15.6,   6.5, 107.1,  59.4
 647,2.500e-06,2.216e+00,   8.9,   6.2, 102.5,  58.0,1.234e-01,  16.6,   6.9, 107.2,  59.4
 648,2.500e-06,2.203e+00,   9.0,   6.3, 102.4,  58.0,1.230e-01,  15.7,   7.0, 107.2,  59.5
 649,2.500e-06,2.182e+00,   9.0,   6.4, 102.4,  58.0,1.229e-01,  15.9,   6.4, 107.2,  59.4
 650,2.500e-06,2.210e+00,   9.1,   6.4, 102.4,  58.0,1.225e-01,  15.7,   7.0, 107.1,  59.4
 651,2.500e-06,2.167e+00,   8.8,   6.2, 102.5,  57.9,1.231e-01,  15.7,   7.4, 107.3,  59.5
 652,2.500e-06,2.226e+00,   9.0,   6.4, 102.5,  58.0,1.228e-01,  15.8,   6.6, 107.1,  59.4
 653,2.500e-06,2.168e+00,   8.9,   6.2, 102.5,  58.0,1.228e-01,  16.0,   8.8, 107.1,  59.5
 654,2.500e-06,2.214e+00,   8.9,   6.3, 102.4,  58.0,1.227e-01,  15.8,   7.6, 107.1,  59.3
 655,2.500e-06,2.222e+00,   8.9,   6.2, 102.5,  58.0,1.225e-01,  15.6,   6.5, 107.1,  59.3
 656,2.500e-06,2.211e+00,   9.1,   6.5, 102.5,  58.0,1.225e-01,  15.8,   6.3, 107.0,  59.3
 657,2.500e-06,2.219e+00,   8.9,   6.2, 102.4,  58.0,1.228e-01,  16.2,   6.4, 107.1,  59.3
 658,2.500e-06,2.215e+00,   8.9,   6.3, 102.4,  58.0,1.229e-01,  16.1,   6.4, 107.1,  59.5
 659,2.500e-06,2.189e+00,   8.9,   6.2, 102.4,  57.9,1.226e-01,  15.6,   6.3, 107.1,  59.4
 660,2.500e-06,2.210e+00,   8.9,   6.3, 102.4,  57.9,1.225e-01,  15.7,   6.5, 107.0,  59.3
 661,2.500e-06,2.179e+00,   8.9,   6.3, 102.3,  58.0,1.228e-01,  16.3,   9.1, 107.1,  59.3
 662,2.500e-06,2.200e+00,   9.0,   6.4, 102.3,  58.0,1.225e-01,  15.8,   7.9, 107.0,  59.3
 663,2.500e-06,2.194e+00,   9.0,   6.3, 102.3,  57.9,1.231e-01,  16.8,  10.4, 107.1,  59.4
 664,2.500e-06,2.236e+00,   9.2,   6.6, 102.5,  58.0,1.230e-01,  16.4,   6.6, 107.1,  59.4
 665,2.500e-06,2.213e+00,   8.8,   6.1, 102.3,  57.9,1.225e-01,  15.6,   7.2, 107.1,  59.3
 666,2.500e-06,2.226e+00,   8.9,   6.3, 102.4,  57.9,1.228e-01,  15.8,   6.7, 107.2,  59.4
 667,2.500e-06,2.134e+00,   9.0,   6.3, 102.4,  57.9,1.223e-01,  15.5,   7.0, 107.0,  59.3
 668,2.500e-06,2.183e+00,   9.0,   6.4, 102.4,  57.9,1.233e-01,  16.8,   7.4, 107.2,  59.4
 669,2.500e-06,2.174e+00,   8.8,   6.2, 102.3,  57.9,1.227e-01,  15.7,   6.9, 107.2,  59.3
 670,2.500e-06,2.246e+00,   9.0,   6.3, 102.3,  58.0,1.226e-01,  15.6,   6.9, 107.1,  59.3
 671,2.500e-06,2.190e+00,   9.1,   6.4, 102.3,  57.9,1.227e-01,  16.1,   8.8, 107.1,  59.3
 672,2.500e-06,2.207e+00,   9.2,   6.5, 102.3,  57.9,1.241e-01,  17.2,   7.9, 107.4,  59.6
 673,2.500e-06,2.166e+00,   8.7,   6.1, 102.3,  57.9,1.225e-01,  15.7,   7.4, 107.1,  59.3
 674,2.500e-06,2.181e+00,   8.8,   6.1, 102.3,  57.9,1.224e-01,  15.5,   7.0, 107.1,  59.3
 675,2.500e-06,2.217e+00,   9.1,   6.5, 102.3,  57.9,1.231e-01,  16.7,   7.1, 107.1,  59.3
 676,2.500e-06,2.224e+00,   8.9,   6.3, 102.3,  58.0,1.225e-01,  15.6,   7.5, 107.1,  59.3
 677,2.500e-06,2.208e+00,   8.8,   6.2, 102.3,  57.9,1.225e-01,  15.9,   6.3, 107.0,  59.3
 678,2.500e-06,2.185e+00,   8.8,   6.3, 102.2,  57.9,1.227e-01,  15.8,   6.2, 107.1,  59.3
 679,2.500e-06,2.218e+00,   9.1,   6.4, 102.3,  57.9,1.229e-01,  16.0,   6.4, 107.2,  59.3
 680,2.500e-06,2.200e+00,   8.8,   6.2, 102.1,  57.9,1.226e-01,  15.7,   6.6, 107.1,  59.3
 681,2.500e-06,2.193e+00,   8.9,   6.3, 102.2,  57.8,1.224e-01,  15.7,   7.1, 107.1,  59.3
 682,2.500e-06,2.222e+00,   8.9,   6.2, 102.1,  57.9,1.225e-01,  15.9,   6.3, 107.0,  59.3
 683,2.500e-06,2.234e+00,   8.8,   6.2, 102.2,  57.9,1.223e-01,  15.6,   7.0, 107.0,  59.3
 684,2.500e-06,2.212e+00,   8.8,   6.2, 102.2,  57.9,1.228e-01,  16.0,   6.3, 107.1,  59.3
 685,2.500e-06,2.212e+00,   8.9,   6.3, 102.3,  57.8,1.224e-01,  15.8,   7.5, 107.0,  59.2
 686,2.500e-06,2.220e+00,   8.7,   6.1, 102.2,  57.8,1.221e-01,  15.6,   7.5, 106.9,  59.3
 687,2.500e-06,2.208e+00,   8.8,   6.1, 102.2,  57.9,1.223e-01,  15.7,   6.4, 107.0,  59.3
 688,2.500e-06,2.151e+00,   9.1,   6.4, 102.3,  57.9,1.222e-01,  15.6,   7.8, 107.0,  59.2
 689,2.500e-06,2.192e+00,   8.9,   6.3, 102.2,  57.9,1.225e-01,  16.0,   6.2, 107.0,  59.3
 690,2.500e-06,2.181e+00,   9.2,   6.5, 101.7,  57.9,1.230e-01,  15.9,   6.3, 107.2,  59.7
 691,2.500e-06,2.156e+00,   9.0,   6.3, 102.2,  57.9,1.224e-01,  15.7,   6.2, 107.0,  59.3
 692,2.500e-06,2.195e+00,   9.0,   6.3, 102.2,  57.9,1.223e-01,  15.7,   6.3, 106.9,  59.2
 693,2.500e-06,2.199e+00,   8.8,   6.2, 102.1,  57.8,1.222e-01,  15.7,   6.5, 106.9,  59.2
 694,2.500e-06,2.219e+00,   8.8,   6.2, 102.1,  57.9,1.225e-01,  16.0,   6.4, 107.0,  59.3
 695,2.500e-06,2.181e+00,   8.8,   6.2, 102.2,  57.9,1.224e-01,  15.8,   6.5, 107.0,  59.3
 696,2.500e-06,2.194e+00,   9.0,   6.3, 102.1,  57.8,1.223e-01,  15.8,   6.3, 106.9,  59.3
 697,2.500e-06,2.250e+00,   8.9,   6.2, 102.3,  57.8,1.224e-01,  16.2,   6.5, 106.9,  59.2
 698,2.500e-06,2.188e+00,   9.0,   6.4, 102.0,  57.8,1.223e-01,  15.7,   6.9, 106.9,  59.2
 699,2.500e-06,2.212e+00,   9.0,   6.3, 102.1,  57.8,1.221e-01,  15.5,   6.8, 106.9,  59.2
 700,2.500e-06,2.208e+00,   8.8,   6.2, 102.2,  57.8,1.225e-01,  16.2,   6.5, 106.9,  59.3
 701,2.500e-06,2.213e+00,   9.1,   6.5, 102.2,  57.8,1.225e-01,  16.1,   8.6, 107.0,  59.3
 702,2.500e-06,2.155e+00,   8.9,   6.2, 102.1,  57.8,1.224e-01,  16.4,   9.5, 106.9,  59.3
 703,2.500e-06,2.204e+00,   9.0,   6.4, 102.1,  57.8,1.225e-01,  16.5,   6.7, 106.9,  59.3
 704,2.500e-06,2.199e+00,   9.0,   6.4, 102.1,  57.8,1.221e-01,  15.5,   6.7, 106.9,  59.3
 705,2.500e-06,2.194e+00,   8.9,   6.2, 102.0,  57.8,1.222e-01,  15.8,   7.9, 106.9,  59.2
 706,2.500e-06,2.234e+00,   8.9,   6.3, 102.0,  57.8,1.222e-01,  15.8,   7.8, 106.9,  59.2
 707,2.500e-06,2.217e+00,   9.1,   6.4, 102.1,  57.8,1.223e-01,  15.9,   6.3, 106.9,  59.3
 708,2.500e-06,2.163e+00,   8.8,   6.2, 102.1,  57.8,1.219e-01,  15.6,   7.4, 106.8,  59.2
 709,2.500e-06,2.202e+00,   9.0,   6.4, 102.0,  57.8,1.226e-01,  16.3,   6.7, 107.0,  59.4
 710,2.500e-06,2.181e+00,   8.9,   6.2, 102.0,  57.8,1.220e-01,  15.4,   7.1, 106.9,  59.2
 711,2.500e-06,2.209e+00,   8.9,   6.3, 102.0,  57.8,1.222e-01,  15.8,   6.9, 106.8,  59.2
 712,2.500e-06,2.187e+00,   8.8,   6.1, 102.0,  57.8,1.225e-01,  16.3,   6.5, 106.9,  59.2
 713,2.500e-06,2.211e+00,   8.9,   6.3, 102.0,  57.7,1.222e-01,  15.7,   8.0, 106.9,  59.2
 714,2.500e-06,2.160e+00,   9.0,   6.4, 102.1,  57.8,1.225e-01,  16.6,   7.1, 106.8,  59.3
 715,2.500e-06,2.145e+00,   8.9,   6.2, 102.1,  57.8,1.225e-01,  15.9,   6.4, 107.0,  59.3
 716,2.500e-06,2.199e+00,   9.0,   6.3, 101.9,  57.8,1.225e-01,  16.5,   9.9, 106.9,  59.4
 717,2.500e-06,2.200e+00,   9.1,   6.4, 102.0,  57.7,1.224e-01,  16.4,   6.8, 106.9,  59.3
 718,2.500e-06,2.202e+00,   8.8,   6.2, 101.9,  57.8,1.220e-01,  15.6,   7.2, 106.9,  59.2
 719,2.500e-06,2.138e+00,   9.1,   6.4, 102.0,  57.7,1.219e-01,  15.5,   6.5, 106.8,  59.2
 720,2.500e-06,2.234e+00,   9.1,   6.4, 102.0,  57.8,1.220e-01,  16.3,   9.0, 106.7,  59.1
 721,2.500e-06,2.116e+00,   8.9,   6.2, 101.9,  57.7,1.221e-01,  15.9,   6.3, 106.8,  59.2
 722,2.500e-06,2.147e+00,   9.2,   6.5, 101.9,  57.8,1.220e-01,  15.6,   7.0, 106.9,  59.2
 723,2.500e-06,2.210e+00,   8.9,   6.3, 102.0,  57.7,1.223e-01,  16.2,   6.6, 106.8,  59.2
 724,2.500e-06,2.189e+00,   8.8,   6.2, 102.0,  57.8,1.222e-01,  16.0,   6.3, 106.9,  59.2
 725,2.500e-06,2.160e+00,   8.9,   6.3, 101.9,  57.7,1.224e-01,  15.7,   6.6, 107.1,  59.2
 726,2.500e-06,2.199e+00,   8.8,   6.2, 102.0,  57.8,1.219e-01,  15.5,   6.5, 106.9,  59.2
 727,2.500e-06,2.143e+00,   8.7,   6.1, 102.0,  57.8,1.220e-01,  15.6,   7.1, 106.9,  59.3
 728,2.500e-06,2.154e+00,   9.0,   6.3, 101.9,  57.7,1.225e-01,  15.8,   6.9, 107.0,  59.2
 729,2.500e-06,2.164e+00,   8.9,   6.3, 102.0,  57.8,1.220e-01,  15.8,   6.3, 106.8,  59.1
 730,2.500e-06,2.209e+00,   8.8,   6.2, 102.0,  57.8,1.222e-01,  15.7,   6.7, 107.0,  59.2
 731,2.500e-06,2.122e+00,   8.9,   6.3, 101.9,  57.8,1.222e-01,  15.9,   6.2, 106.9,  59.2
 732,2.500e-06,2.172e+00,   9.1,   6.4, 101.8,  57.8,1.220e-01,  15.8,   7.4, 106.9,  59.2
 733,2.500e-06,2.177e+00,   9.1,   6.5, 102.0,  57.7,1.223e-01,  15.9,   6.4, 106.9,  59.2
 734,2.500e-06,2.159e+00,   9.0,   6.3, 101.9,  57.7,1.220e-01,  15.7,   6.4, 106.9,  59.2
 735,2.500e-06,2.178e+00,   8.8,   6.2, 101.9,  57.8,1.221e-01,  16.0,   6.3, 106.9,  59.1
 736,2.500e-06,2.180e+00,   8.9,   6.3, 101.9,  57.6,1.220e-01,  15.8,   7.8, 106.9,  59.1
 737,2.500e-06,2.168e+00,   8.8,   6.2, 101.9,  57.7,1.220e-01,  15.6,   7.4, 106.9,  59.2
 738,2.500e-06,2.190e+00,   9.0,   6.3, 101.7,  57.7,1.219e-01,  15.6,   7.5, 106.9,  59.2
 739,2.500e-06,2.164e+00,   9.3,   6.7, 101.8,  57.7,1.222e-01,  16.0,   6.3, 106.9,  59.2
 740,2.500e-06,2.113e+00,   8.8,   6.2, 101.9,  57.6,1.220e-01,  15.7,   6.5, 106.9,  59.1
 741,2.500e-06,2.156e+00,   8.7,   6.1, 101.9,  57.7,1.220e-01,  15.7,   6.7, 106.9,  59.1
 742,2.500e-06,2.166e+00,   8.9,   6.2, 101.8,  57.7,1.224e-01,  15.8,   7.1, 107.0,  59.3
 743,2.500e-06,2.169e+00,   9.0,   6.4, 101.9,  57.7,1.224e-01,  16.2,   6.5, 106.9,  59.2
 744,2.500e-06,2.203e+00,   8.9,   6.3, 101.8,  57.7,1.231e-01,  17.9,   9.7, 106.9,  59.3
 745,2.500e-06,2.154e+00,   9.0,   6.4, 101.8,  57.7,1.219e-01,  15.7,   7.6, 106.8,  59.1
 746,2.500e-06,2.185e+00,   8.9,   6.3, 101.8,  57.7,1.218e-01,  15.6,   6.9, 106.8,  59.2
 747,2.500e-06,2.214e+00,   8.9,   6.2, 101.9,  57.7,1.219e-01,  15.7,   6.3, 106.8,  59.1
 748,2.500e-06,2.165e+00,   8.9,   6.3, 101.9,  57.7,1.218e-01,  15.6,   7.0, 106.8,  59.1
 749,2.500e-06,2.164e+00,   8.8,   6.2, 101.7,  57.6,1.220e-01,  15.7,   6.6, 106.9,  59.1
 750,2.500e-06,2.221e+00,   8.9,   6.3, 101.9,  57.7,1.217e-01,  15.5,   7.2, 106.8,  59.1
 751,2.500e-06,2.181e+00,   9.0,   6.4, 101.8,  57.7,1.226e-01,  17.2,   8.3, 106.8,  59.2
 752,2.500e-06,2.150e+00,   8.9,   6.3, 101.8,  57.7,1.218e-01,  15.6,   6.8, 106.8,  59.1
 753,2.500e-06,2.159e+00,   8.7,   6.1, 101.7,  57.7,1.217e-01,  15.5,   6.8, 106.8,  59.1
 754,2.500e-06,2.138e+00,   8.8,   6.1, 101.7,  57.7,1.217e-01,  15.7,   7.3, 106.7,  59.1
 755,1.250e-06,2.196e+00,   8.7,   6.1, 101.7,  57.6,1.217e-01,  15.6,   7.0, 106.7,  59.1
 756,1.250e-06,2.195e+00,   8.8,   6.2, 101.7,  57.6,1.220e-01,  16.1,   6.4, 106.8,  59.1
 757,1.250e-06,2.186e+00,   8.7,   6.1, 101.8,  57.7,1.218e-01,  15.7,   6.5, 106.8,  59.2
 758,1.250e-06,2.167e+00,   8.7,   6.1, 101.7,  57.6,1.217e-01,  15.6,   7.1, 106.8,  59.0
 759,1.250e-06,2.166e+00,   8.6,   6.0, 101.7,  57.6,1.217e-01,  15.6,   6.5, 106.7,  59.0
 760,1.250e-06,2.181e+00,   8.7,   6.1, 101.6,  57.6,1.217e-01,  15.7,   6.3, 106.7,  59.1
 761,1.250e-06,2.177e+00,   8.7,   6.1, 101.6,  57.6,1.216e-01,  15.6,   7.1, 106.7,  59.1
 762,1.250e-06,2.133e+00,   8.8,   6.1, 101.6,  57.6,1.218e-01,  16.0,   6.3, 106.7,  59.1
 763,1.250e-06,2.188e+00,   8.8,   6.2, 101.6,  57.6,1.216e-01,  15.6,   7.0, 106.7,  59.0
 764,1.250e-06,2.177e+00,   8.7,   6.1, 101.6,  57.6,1.217e-01,  15.6,   6.6, 106.7,  59.1
 765,1.250e-06,2.149e+00,   8.7,   6.0, 101.6,  57.6,1.215e-01,  15.5,   6.8, 106.7,  59.0
 766,1.250e-06,2.193e+00,   8.7,   6.1, 101.7,  57.6,1.218e-01,  15.8,   6.3, 106.7,  59.1
 767,1.250e-06,2.174e+00,   8.6,   6.1, 101.7,  57.6,1.219e-01,  16.0,   6.3, 106.8,  59.1
 768,1.250e-06,2.184e+00,   8.8,   6.2, 101.6,  57.6,1.215e-01,  15.6,   7.6, 106.7,  59.1
 769,1.250e-06,2.155e+00,   8.6,   6.1, 101.6,  57.6,1.217e-01,  15.8,   6.2, 106.7,  59.1
 770,1.250e-06,2.148e+00,   8.7,   6.1, 101.7,  57.5,1.216e-01,  15.7,   6.9, 106.7,  59.0
 771,1.250e-06,2.117e+00,   8.7,   6.1, 101.7,  57.5,1.216e-01,  15.6,   6.5, 106.7,  59.0
 772,1.250e-06,2.151e+00,   8.6,   6.0, 101.7,  57.6,1.217e-01,  15.8,   6.2, 106.7,  59.1
 773,1.250e-06,2.161e+00,   8.6,   6.0, 101.6,  57.6,1.215e-01,  15.6,   7.0, 106.7,  59.0
 774,1.250e-06,2.183e+00,   8.7,   6.0, 101.6,  57.6,1.216e-01,  15.9,   6.2, 106.7,  59.1
 775,1.250e-06,2.166e+00,   8.7,   6.1, 101.6,  57.6,1.218e-01,  15.6,   6.9, 106.8,  59.1
 776,1.250e-06,2.192e+00,   8.7,   6.1, 101.7,  57.5,1.215e-01,  15.6,   7.0, 106.7,  59.0
 777,1.250e-06,2.165e+00,   8.6,   6.0, 101.6,  57.6,1.215e-01,  16.0,   8.4, 106.6,  59.0
 778,1.250e-06,2.182e+00,   8.8,   6.1, 101.7,  57.5,1.215e-01,  15.6,   7.1, 106.7,  59.0
 779,1.250e-06,2.201e+00,   8.6,   6.0, 101.6,  57.6,1.216e-01,  15.6,   6.6, 106.7,  59.1
 780,1.250e-06,2.170e+00,   8.7,   6.1, 101.6,  57.5,1.217e-01,  15.9,   6.3, 106.7,  59.1
 781,1.250e-06,2.155e+00,   9.0,   6.3, 101.5,  57.5,1.216e-01,  15.9,   7.9, 106.7,  59.0
 782,1.250e-06,2.145e+00,   8.8,   6.2, 101.6,  57.5,1.215e-01,  15.6,   6.6, 106.7,  59.1
 783,1.250e-06,2.159e+00,   8.6,   6.0, 101.6,  57.5,1.216e-01,  15.6,   6.9, 106.7,  59.0
 784,1.250e-06,2.156e+00,   8.8,   6.2, 101.6,  57.5,1.218e-01,  15.8,   6.3, 106.7,  59.1
 785,1.250e-06,2.206e+00,   8.7,   6.1, 101.6,  57.5,1.215e-01,  15.6,   7.0, 106.7,  59.0
 786,1.250e-06,2.143e+00,   8.7,   6.1, 101.5,  57.5,1.218e-01,  15.6,   6.6, 106.8,  59.2
 787,1.250e-06,2.200e+00,   8.5,   6.0, 101.5,  57.5,1.215e-01,  15.6,   6.6, 106.7,  59.1
 788,1.250e-06,2.186e+00,   8.7,   6.1, 101.6,  57.5,1.214e-01,  15.5,   7.1, 106.6,  59.0
 789,1.250e-06,2.183e+00,   8.7,   6.1, 101.6,  57.6,1.218e-01,  16.1,   6.4, 106.7,  59.1
 790,1.250e-06,2.171e+00,   8.7,   6.1, 101.5,  57.5,1.217e-01,  15.9,   6.3, 106.7,  59.1
 791,1.250e-06,2.162e+00,   8.9,   6.2, 101.6,  57.6,1.214e-01,  15.5,   7.1, 106.7,  59.0
