[2025-10-10 17:46:11][INFO] - This log is also available at '/scratch/tisi/cartospeed/transfer_learning/only_heads/outputs/2025-10-10/17-46-11/train.log'.
[2025-10-10 17:46:11][INFO] - Package version: 2025.10
[2025-10-10 17:46:11][INFO] - Package directory: /home/tisi/miniforge3/envs/cartospeed_2025_9/lib/python3.13/site-packages/metatrain
[2025-10-10 17:46:11][INFO] - Working directory: /scratch/tisi/cartospeed/transfer_learning/only_heads
[2025-10-10 17:46:11][INFO] - Executed command: mtt train options-c.yaml
[2025-10-10 17:46:11][INFO] - Running training for 'pet' architecture
[2025-10-10 17:46:12][INFO] - Random seed of this run is 22
[2025-10-10 17:46:12][INFO] - Setting up training set
[2025-10-10 17:51:40][INFO] - Epoch:   10 | learning rate: 1.000e-05 | training loss: 3.439e+01 | training mtt::LPS RMSE (per atom):   29.7 meV | training mtt::LPS MAE (per atom):   20.0 meV | training forces[mtt::LPS] RMSE:  400.2 meV/A | training forces[mtt::LPS] MAE:  214.7 meV/A | validation loss: 1.450e+00 | validation mtt::LPS RMSE (per atom):   28.3 meV | validation mtt::LPS MAE (per atom):   17.9 meV | validation forces[mtt::LPS] RMSE:  375.0 meV/A | validation forces[mtt::LPS] MAE:  198.5 meV/A
[2025-10-10 17:52:08][INFO] - Epoch:   11 | learning rate: 1.000e-05 | training loss: 3.068e+01 | training mtt::LPS RMSE (per atom):   27.1 meV | training mtt::LPS MAE (per atom):   18.2 meV | training forces[mtt::LPS] RMSE:  376.0 meV/A | training forces[mtt::LPS] MAE:  202.3 meV/A | validation loss: 1.284e+00 | validation mtt::LPS RMSE (per atom):   26.0 meV | validation mtt::LPS MAE (per atom):   15.8 meV | validation forces[mtt::LPS] RMSE:  354.0 meV/A | validation forces[mtt::LPS] MAE:  187.8 meV/A
[2025-10-10 17:52:36][INFO] - Epoch:   12 | learning rate: 1.000e-05 | training loss: 2.704e+01 | training mtt::LPS RMSE (per atom):   24.4 meV | training mtt::LPS MAE (per atom):   16.4 meV | training forces[mtt::LPS] RMSE:  353.3 meV/A | training forces[mtt::LPS] MAE:  191.3 meV/A | validation loss: 1.148e+00 | validation mtt::LPS RMSE (per atom):   24.1 meV | validation mtt::LPS MAE (per atom):   14.5 meV | validation forces[mtt::LPS] RMSE:  334.8 meV/A | validation forces[mtt::LPS] MAE:  178.7 meV/A
[2025-10-10 17:53:04][INFO] - Epoch:   13 | learning rate: 1.000e-05 | training loss: 2.407e+01 | training mtt::LPS RMSE (per atom):   21.7 meV | training mtt::LPS MAE (per atom):   14.6 meV | training forces[mtt::LPS] RMSE:  332.7 meV/A | training forces[mtt::LPS] MAE:  181.7 meV/A | validation loss: 1.032e+00 | validation mtt::LPS RMSE (per atom):   22.4 meV | validation mtt::LPS MAE (per atom):   13.6 meV | validation forces[mtt::LPS] RMSE:  317.6 meV/A | validation forces[mtt::LPS] MAE:  171.7 meV/A
[2025-10-10 17:53:32][INFO] - Epoch:   14 | learning rate: 1.000e-05 | training loss: 2.156e+01 | training mtt::LPS RMSE (per atom):   19.8 meV | training mtt::LPS MAE (per atom):   13.3 meV | training forces[mtt::LPS] RMSE:  314.5 meV/A | training forces[mtt::LPS] MAE:  173.6 meV/A | validation loss: 9.315e-01 | validation mtt::LPS RMSE (per atom):   20.5 meV | validation mtt::LPS MAE (per atom):   11.9 meV | validation forces[mtt::LPS] RMSE:  301.5 meV/A | validation forces[mtt::LPS] MAE:  164.7 meV/A
[2025-10-10 17:54:00][INFO] - Epoch:   15 | learning rate: 1.000e-05 | training loss: 1.934e+01 | training mtt::LPS RMSE (per atom):   18.1 meV | training mtt::LPS MAE (per atom):   12.1 meV | training forces[mtt::LPS] RMSE:  298.8 meV/A | training forces[mtt::LPS] MAE:  166.4 meV/A | validation loss: 8.478e-01 | validation mtt::LPS RMSE (per atom):   18.9 meV | validation mtt::LPS MAE (per atom):   10.9 meV | validation forces[mtt::LPS] RMSE:  287.3 meV/A | validation forces[mtt::LPS] MAE:  158.5 meV/A
[2025-10-10 17:54:27][INFO] - Epoch:   16 | learning rate: 1.000e-05 | training loss: 1.748e+01 | training mtt::LPS RMSE (per atom):   16.7 meV | training mtt::LPS MAE (per atom):   11.2 meV | training forces[mtt::LPS] RMSE:  285.0 meV/A | training forces[mtt::LPS] MAE:  159.9 meV/A | validation loss: 7.783e-01 | validation mtt::LPS RMSE (per atom):   18.4 meV | validation mtt::LPS MAE (per atom):   10.1 meV | validation forces[mtt::LPS] RMSE:  274.9 meV/A | validation forces[mtt::LPS] MAE:  152.4 meV/A
[2025-10-10 17:54:56][INFO] - Epoch:   17 | learning rate: 1.000e-05 | training loss: 1.611e+01 | training mtt::LPS RMSE (per atom):   16.1 meV | training mtt::LPS MAE (per atom):   10.9 meV | training forces[mtt::LPS] RMSE:  273.4 meV/A | training forces[mtt::LPS] MAE:  154.2 meV/A | validation loss: 7.188e-01 | validation mtt::LPS RMSE (per atom):   17.6 meV | validation mtt::LPS MAE (per atom):    9.9 meV | validation forces[mtt::LPS] RMSE:  264.0 meV/A | validation forces[mtt::LPS] MAE:  147.1 meV/A
[2025-10-10 17:55:24][INFO] - Epoch:   18 | learning rate: 1.000e-05 | training loss: 1.479e+01 | training mtt::LPS RMSE (per atom):   15.6 meV | training mtt::LPS MAE (per atom):   10.5 meV | training forces[mtt::LPS] RMSE:  263.3 meV/A | training forces[mtt::LPS] MAE:  149.0 meV/A | validation loss: 6.702e-01 | validation mtt::LPS RMSE (per atom):   17.5 meV | validation mtt::LPS MAE (per atom):    9.7 meV | validation forces[mtt::LPS] RMSE:  254.7 meV/A | validation forces[mtt::LPS] MAE:  141.9 meV/A
[2025-10-10 17:55:51][INFO] - Epoch:   19 | learning rate: 1.000e-05 | training loss: 1.407e+01 | training mtt::LPS RMSE (per atom):   15.2 meV | training mtt::LPS MAE (per atom):   10.2 meV | training forces[mtt::LPS] RMSE:  254.4 meV/A | training forces[mtt::LPS] MAE:  144.0 meV/A | validation loss: 6.257e-01 | validation mtt::LPS RMSE (per atom):   16.9 meV | validation mtt::LPS MAE (per atom):    9.4 meV | validation forces[mtt::LPS] RMSE:  245.9 meV/A | validation forces[mtt::LPS] MAE:  138.0 meV/A
